name,tuition_min,tuition_max,tuition_currency,tuition_usd,ielts_min,toefl_min,gpa_min,programs,intakes,application_deadline,scholarship_available,notes,scrape_status
University of Exeter (INTO),17620.0,17715.0,GBP,22377.4,,,,,,,,"University of Exeter is ranked in the global top 200 and offers undergraduate, postgraduate taught, and research degrees across multiple campuses including Streatham, St Luke's, Penryn, and Cornwall locations.",success
Anglia Ruskin University (Navitas),16000.0,,GBP,20320.0,,,,,,,,"ARU offers courses for international students with support services including English language support and International Orientation Programme. The university has campuses in Cambridge, Chelmsford, Peterborough and Writtle.",success
University of Portsmouth (Navitas),15750.0,,GBP,20002.5,,,,,,,,University of Portsmouth offers Connected Degrees - unique 3-year courses with optional 4th year placement. Has campuses in both Portsmouth and London with career-focused programs.,success
Brunel University London (Navitas),17950.0,,GBP,22796.5,,,,,,,,"Brunel University London offers foundation, undergraduate, postgraduate and research programs with online options available. The university is ranked top 3 most international university in the UK and offers open days for prospective students.",success
Oxford Brookes University (QA),17250.0,18250.0,GBP,21907.5,,,,,,,,Oxford Brookes University has undergraduate open days on June 19-20 and offers late applications for those who missed the January 14 deadline. The university is ranked in the top 10 in South East England and among the world's top universities in 24 subject areas.,success
Solent University (QA),17250.0,18250.0,GBP,21907.5,,,,,September,,,"University is located in Southampton city centre and offers undergraduate, postgraduate, and apprenticeship courses with industry experience opportunities.",success
Royal Holloway (Study Group),21310.0,,GBP,27063.7,,,,,,,Yes,Royal Holloway offers scholarships that provide cash awards or tuition fee reductions. Summer Open Day scheduled for Saturday 13 June for prospective undergraduate students.,success
University of Sheffield (Study Group),21310.0,,GBP,27063.7,,,,,,,,"University offers pathway programmes for international students, visa and immigration support, and an International Summer School. Ranked 92nd globally in QS World University Rankings 2026.",success
Durham University (Study Group),21310.0,,GBP,27063.7,,,,,,,Yes,Durham offers Inspiring Excellence Scholarships for outstanding international students at both undergraduate and postgraduate levels. The university has been named in the top 50 of the world's most international universities.,success
University of Westminster (Kaplan),22760.0,25530.0,GBP,28905.2,,,,,"September, January",,Yes,"Health and life sciences scholarships worth £4.2M available through the Adar Poonawalla Pathways to Excellence programme. University has four campuses across London with facilities including cinema, gallery spaces, and sports facilities.",success
Queen Mary University of London (Kaplan),22760.0,25530.0,GBP,28905.2,,,,"AI and Computer Science, Biological Sciences, Business and Management, Medicine, Dentistry, Engineering, Law, Economics and Finance, Psychology, Mathematics, Physics",,,Yes,"Scholarships up to £12,000 available for international offer holders. Students from over 170 countries, making it one of the most internationally diverse institutions in the world.",success
MPW College,38750.0,40600.0,GBP,49212.5,,,,"A Level, GCSE, IGCSE, University Foundation Programme, Art Portfolio Programme, Easter Revision",,,,"MPW College has campuses in London, Birmingham and Cambridge offering A levels, GCSEs and foundation programmes for international students. Established in 1973 with a focus on bespoke education and university preparation.",success
English Path,1120.0,1280.0,GBP,1422.4,,,,"General English, General French, General German, Business English, Exam Preparation, Pathway Programme, Professional Certificates, Young Learners",,,,EP Schools offer language courses in 9 countries across 11 campuses. They provide pathway programmes including public university placement in Germany and are accredited by British Council in the UK.,success
Florida International University (Shorelight),21012.0,,USD,21012.0,,,,"Arts and Design, Business and Economics, Education, Hospitality Management, Humanities and Culture, Medicine and Health, Public Policy, Sciences and Engineering, Technology",,,,"FIU offers more than 200 degree programs across 12 colleges with opportunities for research, study abroad, and hands-on experience. The university has a large alumni network of 350,000+ and is located in Miami with access to beaches, culture, and career opportunities.",success
University of Illinois Chicago (Shorelight),,,PROVIDER: SHORELIGHT.,,,,,,,,,"UIC offers $0 tuition and fees for families earning $75,000 or less. The university serves 34,000 students with 40% being first-generation students.",success
Suffolk University (INTO),,,PROVIDER: INTO.,,,,,"Accounting, Business, Computer Science, Finance, Marketing, Psychology, Political Science, Criminal Justice, Art & Design, Engineering, Law",,,,Suffolk University is located in downtown Boston with 8 subway stops within a 5-minute walk. 95% of freshmen receive financial aid and the university offers 40+ study abroad opportunities.,success
Drew University (INTO),,,PROVIDER: INTO.,,,,,,,,,Drew University offers International Students & Scholar Services with support for new and current international students including employment workshops and programs.,success
George Mason University (INTO),,,PROVIDER: INTO.,,,,,,,,,"George Mason University is a Top 50 Public R1 Research University with international admissions programs and INTO Mason pathway programs available. The university has campuses in Virginia and South Korea, with graduates from 105 countries.",success
Oregon State University (INTO),,,PROVIDER: INTO.,,,,,,,,,"This appears to be the main Oregon State University homepage rather than specific international admissions information. The page mentions OSU has multiple locations including Corvallis, Bend, online programs, and research centers.",success
Colorado State University (INTO),,,PROVIDER: INTO.,,,,,"Agricultural Sciences, Business, Engineering, Health and Human Sciences, Liberal Arts, Natural Sciences, Veterinary Medicine, Natural Resources",,,,"Colorado State University offers nearly 300 academic programs with over 70 majors for undergraduates, plus graduate and online programs. The university has a strong focus on research and is located in Fort Collins, Colorado in the foothills of the Rocky Mountains.",success
Pace University (Kaplan),,,PROVIDER: KAPLAN. PATHWAY PROGRAM.,,,,,"Computer Science, Game Development, Arts and Entertainment Management, Business, Health Professions, Law, Performing Arts, Education",,,Yes,"Offers a $2,000 renewable grant for students who visit campus by December 15, 2026 and enroll full-time for fall 2027. Has campuses in NYC, Westchester, and online options available.",success
Simmons University (Kaplan),,,PROVIDER: KAPLAN.,,,,,,,,,Simmons University is located in Boston's Fenway neighborhood with easy access to internships in the Longwood Medical Area and opportunities at 150+ high-tech companies in Cambridge's Kendall Square. The university offers both undergraduate and graduate programs with online options available.,success
Westcliff University,18408.0,,USD,18408.0,,,,"Business Administration, Computer Science, Information Technology, Engineering Management, Artificial Intelligence, Education, Nursing, Law, Data Science",,,Yes,Westcliff University welcomes international students from over 110 countries and offers specialized guidance for international students. The university has a 10:1 student-to-faculty ratio and provides both on-campus and online learning options.,success
University of North Florida,,,DIRECT ADMISSIONS.,,,,,"Health, Business, Arts and Sciences, Computing, Engineering, Construction, Education, Human Services",,,,"Located in Jacksonville, Florida, just minutes from the beach. Offers undergraduate and graduate programs with small classes and innovative faculty.",success
New York Film Academy,,,USD,,,,,"Filmmaking, Acting for Film, Photography, Producing, Screenwriting, Cinematography, Documentary Filmmaking, Digital Editing, 3D Animation & Visual Effects, Broadcast Journalism, Musical Theatre, Game Design, Entertainment Media, Virtual Reality",,,Yes,"The school mentions that tuition costs are listed in USD and subject to change, with an annual increase expected. International student admissions section is referenced but specific requirements are not detailed on this page.",success
Georgian College,,,USD,,,,,,,,,Georgian College offers 130+ programs with hands-on learning and small class sizes. The college has launched a new applicant portal for international students and offers preparation programs including English language studies.,success
Durham College,,,USD,,,,,,,,Yes,Over $5 million in scholarships and bursaries available to DC students. PGWP-eligible programs are offered for international students.,success
Saint-Lawrence College,,,USD,,,,,"Autism and Behavioural Science, Bachelor of Commerce Social Innovation, Electrical Techniques, Business, Health Sciences, Hospitality and Culinary, Justice Studies, Science and Technology, Skilled Trades",September,,Yes,"College offers online and in-person delivery options with flexible learning formats. International students can apply to programs including graduate certificates and bachelor's degrees across multiple campuses in Kingston, Brockville, and Cornwall.",success
Niagara College,,,USD,,,,,,September,,Yes,"Niagara College offers over 120 full-time programs across 14 schools of study at two campuses in the Niagara Region, Canada. The college is known for experiential learning and has been ranked top-10 in Canada for research funding for 10 consecutive years.",success
Douglas College,,,USD,,,,,"Child and Youth Care, Early Childhood Education, Social Work, Business Administration, Accounting, Computing Studies, Nursing, Hospitality Management, Psychology, Communications, Music, Theatre, Biology, Chemistry, Engineering, Environmental Science, Veterinary Technology",,,Yes,"Douglas College offers international student services, global programs and exchanges, and specific scholarships and awards for international students. The college provides English language proficiency requirements and assessment testing for admission.",success
EU Business School Geneva,,,DEGREE PROGRAMS AVAILABLE.,,,,,"Business Management, Business Law, Project Management, MBA, Master's, MSc, DBA",,,,"EU Business School offers programs taught 100% in English across campuses in Barcelona, Geneva, Munich, and Digital. The school has students from 130+ nationalities and 93% of graduates are employed within 6 months.",success
Swiss Education Group,,,USD,,,,,"Hospitality Management, Business, Culinary Arts, Hotel Management",,,,"Swiss Education Group operates 4 schools in Switzerland specializing in hospitality, business and culinary arts with over 6,000 students from 110+ nationalities. All schools ranked in top 10 QS World University Rankings 2026 for hospitality programs.",success
BHMS Business and Hotel Management School,,,USD,,,,,"Global Business Management, Hotel & Hospitality Management, International Hospitality Business Management, International Tourism Management, Wine and Beverage Business Management, Business Sports and Events Management, Business Banking and Finance, Business and Airline Management, Culinary Entrepreneurship, Culinary Arts, Pastry Chocolate & Bakery",,,,Swiss business and hotel management school in Lucerne with guaranteed internships. Offers dual degrees through partnership with Robert Gordon University. Payment available in Swiss francs or other currencies through Flywire.,success
SRH University,,,USD,,,,,"Business Administration, International Business, Computer Science, Data Science, Psychology, Engineering, Architecture, Health, Social Work, Design, Film, Music, Tourism, Hotel Management",,,,"SRH University offers flexible study options including on-campus, online, and hybrid formats across 18 locations in Germany. The university uses the CORE principle (Competence Oriented Research and Education) for practical, small-group learning.",success
Fresenius University,,,USD,,,,,"Business Administration, Psychology, Health Sciences, Engineering, Media Management, Fashion Design, International Business, Chemistry, Biology, Sports Management",,,,Private German university with over 140 study programs and partnerships with 500+ companies. Campus Experience Day on May 19th available for prospective students.,success
IU International University of Applied Sciences,,,FORMERLY IUBH. ONLINE AND ON-CAMPUS PROGRAMS.,,,,,"Computer Science, Business Administration, Cyber Security, International Management, MBA","April, October",,,Study 100% in English at Germany's largest private university with campuses in Berlin and Cologne. Post-study work visa available for 18 months after graduation.,success
Kedge Business School,,,USD,,,,,"Management, Finance, Marketing, Supply Chain, International Business, Arts & Creative Industries, Wine & Hospitality, Data Analytics, Entrepreneurship",,,,KEDGE is a French business school with campuses in France and internationally including China and Africa. Programs are offered in French and English with strong international focus and industry partnerships.,success
Audencia Business School,,,USD,,,,,"Management, International Management & Business, Communication, MBA, DBA, Marketing, Finance, Entrepreneurship",,,,"Audencia is a French business school with 11 campuses internationally including France, China, Brazil, Spain, and Australia. 90% of students find employment within 6 months and 60% of faculty are international.",success
EU Business School Barcelona,,,DEGREE PROGRAMS AVAILABLE.,,,,,"Business Management, Business Law, Project Management, MBA, DBA",,,,"EU Business School has campuses in Barcelona, Geneva, Munich, and a Digital Campus. All programs are taught 100% in English with students from 130+ nationalities.",success
OCA Prague,5500.0,,EUR,5940.0,,,,,,,,"This appears to be a cycling academy/sports club in Brno, Czech Republic, not a traditional university offering academic programs for international students.",success
OnCampus Foundation (Netherlands),22440.0,30460.0,GBP,28498.8,,,,,,,,"This appears to be an e-learning platform company (oncampus GmbH) that provides learning management systems and online courses, rather than a traditional university with degree programs for international students.",success
The Hague University of Applied Sciences (Navitas),14950.0,,EUR,16146.0,,,,,,,,"THUAS has nearly 26,000 students from more than 140 different countries and offers Bachelor, Master, Post-graduate, and exchange programs. The university focuses on practice-oriented research addressing societal issues including inclusive education, safety, AI and data use.",success
Wittenborg University,11800.0,,EUR,12744.0,,,,"Business Administration, Entrepreneurship, Marketing Communication, Hospitality Business Administration, MBA, Management (MSc)",6 entrance dates per year,,Yes,"Multiple scholarships available including EU Scholarship, Holland Scholarship, and various regional scholarships. Guaranteed student accommodation provided. 100% English-speaking programs with total internationalization focus.",success
HULT International Business School,25800.0,38900.0,GBP,32766.0,,,,"Business, Management, Finance, MBA, DBA, Organizational Change",,,Yes,"Global campuses in San Francisco, New York, London, Boston, Dubai, Singapore with rotation opportunities. Triple accredited by AACSB, AMBA, and EQUIS with integrated visa support for international students.",success
Heriot-Watt University Dubai,,,USD,,,,,"Management, Engineering, Built Environment, Fashion, Business Management, Accountancy, Marketing, Enterprise, Finance, Logistics, Strategy",September,,Yes,"One of the first overseas universities in Dubai International Academic City offering British education. Programs accredited by UAE Ministry of Higher Education and Scientific Research. Inter-campus transfers available between UK, Dubai, and Malaysia campuses.",success
Sunway University,,,USD,,,,,,,,Yes,Sunway University offers scholarships and financial aids through the Jeffrey Cheah Foundation. The university is committed to providing quality education and has international collaborations with world-renowned universities.,success
Asia Pacific University (APU),8000.0,9000.0,USD,8000.0,,,,"Information Technology, Computer Science, Software Engineering, Artificial Intelligence, Cyber Security, Business Management, Accounting and Finance, Banking and Finance, Engineering, Architecture, Psychology, Design and Creative Media, Games Development, Hospitality and Tourism",,,Yes,APU offers scholarships for international students and has partnerships including a dual degree program with DMU. The university provides comprehensive student services including international student guides and application procedures.,success
TED University,,,USD,,,,,"Education, Engineering, Arts and Sciences, Economics and Administrative Sciences, Architecture and Design",,,Yes,TED University offers 100% English education across 23 undergraduate programs in 5 faculties. The university has an International Programs Office that handles partnerships with universities abroad and provides international study opportunities.,success
ARUCAD Cyprus,,,USD,,,,,"Art, Design, Communication, Music and Performing Arts",,,,ARUCAD is a Creative Arts and Design University in Northern Cyprus with four main faculties. The university offers English preparatory school and has international student application options available.,success
Curtin University Singapore (Navitas),,,PROVIDER: NAVITAS.,,,,,"Business, Communications, Information Technology, Health Sciences, Computing, Cyber Security",,,Yes,"Up to 50% scholarship available. Offers diploma pathway programs, undergraduate, postgraduate, and PhD courses. Global Scholars Program allows study at multiple campuses.",success
Solbridge International School of Business,10000.0,,USD,10000.0,,,,"Bachelor of Business Administration, Master of Business Administration, Master of Science with specializations in Data Analytics, Financial Technology, Management & Technology, Marketing Analytics, Technology Entrepreneurship & Innovation, Ph.D. in Global Management",Fall 2026,,,"SolBridge is located in Daejeon, South Korea with 80% international faculty. The school emphasizes diversity and global perspective in business education.",success
KUAS Kyoto University of Art and Design,,,USD,,,,,"Engineering, Economics, Business Administration, Psychology, History and Culture, Bio-environmental Science, Applied Life Sciences, Nursing, Speech-Language Pathology, Health and Sports Science",,,,University emphasizes English communication skills and global education with domestic study abroad-like environment. Offers real business experience and internship programs for practical skill development.,success
Navitas Universities Australia,30000.0,,AUD,19500.0,,,,"English language education, university pathways, degrees, diplomas, certificates, creative media qualifications, employability training",,,,"Navitas is a global education provider offering pathway programs to 38 university partners across 18 countries with 100+ colleges and campuses. They serve 60,000 students yearly from 130+ nationalities through various pathway and direct-degree entry programs.",success
Vilnius Gediminas Technical University,,,ALSO KNOWN AS VILNIUS TECH.,,,,,"Aviation, Architecture, Electronics, Environmental Engineering, Construction, Transport Engineering, Business Management, Mechanical Engineering, Creative Industries, Naval Engineering",,,Yes,University offers programs in English and Lithuanian. Strong international exchange opportunities through Erasmus+ and partnerships with 570+ international universities. 64% of students study tuition-free.,success
Up Education New Zealand,,,USD,,,,,,,,,"UP Education is a leading private tertiary provider across Australia and New Zealand with 64 campuses in 16 locations, offering 270 courses and partnerships with global universities.",success
Auckland University of Technology (AUT),,,ALSO KNOWN AS IUT.,,,,,"Architecture, Art and Design, Business, Communication Studies, Creative Technologies, Education, Engineering, Computer and Mathematical Sciences, Health Sciences, Hospitality Tourism and Events, Language and Culture, Law, Science, Social Sciences and Public Policy, Sport and Recreation",,,Yes,AUT welcomes international students from over 140 countries and offers modern learning experiences with real workplace experience. The university provides international student support services and has partnerships with industry for practical learning.,success
PIHMS Pacific International Hotel Management School,20000.0,,USD,20000.0,,,,"Bachelor of Applied Hotel Management, Master of Applied Hotel Management, Postgraduate Diploma in Applied Hotel Management, New Zealand Diploma in Hospitality Management",,,Yes,Students study in a working hotel campus and receive guaranteed paid industry placement while studying. The school offers English language programmes and has 100% employment rate within 6 months of graduation.,success
Valencia College,,,USD,,,,,,,,,"Valencia College offers over 140 degree and certificate programs at half the cost of state universities. The college has 10 locations throughout Orange and Osceola counties with flexible scheduling options including day, night, weekend and online classes.",success
Cascadia College,,,NEAR SEATTLE WASHINGTON STATE.,,,,,"Business, Communication Arts, Environmental Studies, Health Sciences, Computer Science, Engineering, Social Sciences, Education",,,Yes,"Community college offering transfer degrees, applied science degrees, and certificates with 89% of students transferring to universities.",success
San Jose City College,,,NEAR SAN FRANCISCO.,,,,,"Business Administration, Accounting, Computer Information Systems, Digital Media, Dental Assisting, Medical Assisting, Kinesiology, Early Childhood Education, Administration of Justice, Real Estate",,,,"This is a community college offering associate degrees, certificates, and transfer programs. International Student Program is mentioned but no specific details provided on this page.",success
Hofstra University (INTO),,,USD,,,,,"Business, Engineering, Medicine, Law, Communication",,,,Located on Long Island with easy access to NYC opportunities including internships and career connections. Campus offers 175 undergraduate and 200 graduate programs across 13 schools.,success
Illinois State University (INTO),,,USD,,,,,,,,,Illinois State University offers over 200+ degree options with 85% of classes taught by professors. International students can find application information on the university website.,success
Newcastle University (INTO),,,GBP,,,,,,,,Yes,"Over 1,000 scholarships available for international and EU students. Newcastle University has campuses in UK, Malaysia, and Singapore with pathway courses available through the International Study Centre.",success
Queen's University Belfast (INTO),,,GBP,,,,,,,,Yes,Queen's University Belfast offers international scholarships and university preparation courses. The university has a top 200 global ranking and 99% of research environment is world-leading or internationally excellent.,success
Saint Louis University (INTO),,,USD,,,,,,,,,"SLU offers nearly 100 undergraduate and 140 graduate programs with a 9:1 student-to-faculty ratio. 99% of first-time freshmen received financial aid, indicating strong scholarship availability.",success
Texas State University (INTO),,,USD,,,,,,,,,"Texas State University has over 40,000 students with campuses in San Marcos and Round Rock, Texas. The university offers a musical theatre program and has research programs in AI and brain health.",success
University of Arizona (INTO),,,USD,,,,,,,,,"University of Arizona offers 150+ majors across 20 colleges and schools including business, medicine, and engineering. The university has strong research opportunities and online program options for international students.",success
University of East Anglia (INTO),,,GBP,,,,,,,,,"UEA is located in Norwich, officially the best place to live in the UK. The university offers guaranteed accommodation when key criteria are met and provides strong careers support with nearly 80% of graduates in professional work or further study.",success
University of Gloucestershire (INTO),,,GBP,,,,,"Accounting & finance, Architecture, Art, Business, Computing & cyber security, Design, Education, Engineering, Film & media, Game technologies, Health & social care, Law, Marketing, Music, Photography, Psychology, Sport & exercise",,,,University welcomes international students and offers guaranteed accommodation for first-year students. Strong focus on employability with 95% of graduates in work or further study.,success
University of Sheffield (INTO),,,GBP,,,,,,,,,University of Sheffield is a world top-100 university (92nd in QS World Rankings 2026) offering pathway programmes for international students. The page mentions visa and immigration support and an International Summer School.,success
University of South Florida (INTO),,,USD,,,,,,,,,"This appears to be the general USF homepage. Summer sessions begin May 18, and the university serves nearly 50,000 students across Tampa Bay region campuses.",success
University of Stirling (INTO),,,GBP,,,,,,,,,University of Stirling offers over 170 flexible undergraduate degree courses and postgraduate programs with multiple start dates. Known as Scotland's University for Sporting Excellence.,success
University of Western Australia (INTO),,,AUD,,,,,"Engineering, Biomedical Science, Marine Science",,,,UWA is ranked in the global top 100 universities and #1 in Western Australia. The university offers pathways programs and real-world experience through internships and work placements in every degree.,success
Avila University (InUni),,,USD,,,,,,,,Yes,Avila offers international student programs and mentions 98% of freshmen received scholarships. The university has over 54 academic programs with small class sizes and a 13:1 student-to-faculty ratio.,success
Concordia University Chicago (InUni),5000.0,,USD,5000.0,,,,,,,Yes,"Church professional programs guarantee tuition and mandatory fees won't exceed $5,000 per academic year starting Fall 2025. External scholarships from LCMS districts and congregations can be stacked for additional savings.",success
Hartpury University (InUni),,,GBP,,,,,"Animal Science, Agriculture, Equine Studies, Sport, Veterinary Studies",,,,Specialist university located in Gloucestershire with 360-hectare campus offering world-class facilities. Named Specialist University of the Year 2026 with TEF Gold rating and 95% graduate employment rate.,success
Penn State Dickinson Law (InUni),,,USD,,,,,"J.D., LL.M., S.J.D.",,,Yes,"Penn State Dickinson Law offers generous J.D. scholarships including $60k Keystone Scholars Grants and merit awards. The school has two locations in Carlisle and University Park, PA, with access to major legal markets including Philadelphia, New York City, and Washington D.C.",success
ASU London (Kaplan),,,GBP,,6.0,,,"Business, Computing, Engineering",,,,"Students complete a bachelor's degree in London then can continue to a master's degree at Arizona State University in the USA, all in four years. Graduates may be eligible for up to three years Optional Practical Training in the USA.",success
Adelaide University (Kaplan),,,AUD,,,,,,,,Yes,Adelaide University offers generous scholarships to both Australian and international students. The university has seven campuses across South Australia and offers 100% online study options.,success
Cranfield University (Kaplan),,,GBP,,,,,,,,,"Cranfield University offers MSc, MBA, PhD programs and professional development courses. The university has strong industry connections with nearly 1,500 organizations and focuses on science, engineering, technology, and management.",success
Murdoch University (Kaplan),,,AUD,,,,,,,,Yes,"Murdoch University offers pathways for international students and has campuses in multiple locations including Singapore and Dubai. Open Day is scheduled for Saturday 23 May, 2026.",success
UWE Bristol (Kaplan),,,GBP,,,,,"Accounting and Finance, Architecture, Art, Biosciences, Business Management, Computing, Construction, Design, Drama, Economics, Education, Engineering, English, Environmental Science, Fashion, Filmmaking, Forensic Science, Geography, Health Professions, History, Journalism, Law, Marketing, Mathematics, Music Therapy, Nursing, Philosophy, Politics, Physiotherapy, Planning, Psychology, Social Work",,,,UWE Bristol offers undergraduate and postgraduate programs with industry-shaped courses and state-of-the-art facilities across three campuses. 89% of graduates are in work or further study 15 months after graduation.,success
University of Alberta (Kaplan),,,CAD,,,,,,,,,University of Alberta has over 200 undergraduate programs and 500+ graduate programs with students from 159 countries. The page mentions tuition and scholarships sections but specific details are not provided in this general overview page.,success
University of Birmingham (Kaplan),,,GBP,,,,,,,,,"The University of Birmingham has a green campus with historic buildings and modern facilities. They offer undergraduate, postgraduate taught, postgraduate research, and short courses with comprehensive student support services.",success
University of Brighton (Kaplan),,,GBP,,,,,,January start masters courses,,,"University of Brighton has been ranked the number one university in Europe by international students and offers a Brighton Boost financial support package worth up to £1,000 for eligible students.",success
University of Bristol (Kaplan),,,GBP,,,,,,,,,University of Bristol is ranked 51st globally and 8th in the UK. The page mentions international students section and accommodation options available.,success
University of Glasgow (Kaplan),,,GBP,,,,,,,,,"World top 100 university in Scotland, UK with students from over 140 countries. Offers undergraduate, postgraduate taught, and research programs with international student support services available.",success
University of Liverpool (Kaplan),,,GBP,,,,,,,,,"University of Liverpool has campuses in UK, China, and India. The page mentions international students but specific admissions requirements are not detailed on this general university homepage.",success
University of Victoria (Kaplan),,,CAD,,,,,,,,,UVic offers undergraduate and graduate programs with over 160 graduate programs available. The university emphasizes sustainability and has been named one of Canada's Greenest Employers. Strong focus on international research collaboration and Indigenous initiatives.,success
University of York (Kaplan),,,GBP,,,,,,,,,"The University of York is a Russell Group member with campuses in York UK, Mumbai India, and Greece. They offer undergraduate, postgraduate taught, and research programs with strong research culture and student support services.",success
Birmingham City University (Navitas),,,GBP,,,,,"Accounting, Economics and Finance, Architecture, Art and Design, Built Environment, Business, Computing, Networking and Games Technology, Education, Engineering, English, Events and Sports Management, Fashion, Film, Animation and Technology, Health and Life Sciences, Jewellery, Law, Marketing, Media, Nursing, Psychology, Sociology and Criminology, Sports Science",,,Yes,"BCUIC is a pathway college for Birmingham City University located in Birmingham city center. Students progress to BCU degrees after completing foundation programs, with access to industry-standard facilities and a diverse international student community from 100 countries.",success
Charles Sturt University (Navitas),,,AUD,,,,,"Accounting, Business, Information Technology, Human Services, Business Data Analytics, Professional Accounting, Professional Information Technology, Project Management and Leadership, Social Work",,,Yes,Multiple international scholarships available including International Diversity Merit Scholarship and Vice-Chancellor International Excellence Scholarship. Campuses located in Sydney and Melbourne CBD. Social Work programs starting July 2026.,success
Curtin University (Navitas),,,AUD,,,,,"Architecture & Construction, Commerce, Communication Design & Arts, Computer Science & IT, Engineering, Health Sciences, Masters Qualifying Program",June 2026,,Yes,"Curtin College offers pathway programs that lead directly to 2nd year of Curtin University degrees. Multiple scholarships available including High Achiever, English Language Program, and Academic Bursaries.",success
Edith Cowan University (Navitas),,,AUD,,,,,"Commerce, Communications & Creative Industries, Hotel Management, Computing/IT, Engineering, Health Science, Nursing, Psychology, Exercise, Biomedical, Nutrition, Bioscience",June/July 2026,,Yes,ECC is a pathway college offering diplomas and foundation programs that provide direct entry into 2nd year at ECU. Students can transfer to Edith Cowan University which ranks in the top 400 universities globally.,success
Eynesbury College - Adelaide University (Navitas),,,AUD,,,,,"Arts, Business, Computing & IT, Engineering, Health Science, Foundation Studies, Graduate Certificate in Business and Management, ELICOS",,,,Eynesbury College is a preferred pathway provider to Adelaide University with programs designed for entry into bachelor degrees. Students can progress seamlessly from Eynesbury programs into Adelaide University degrees.,success
Griffith University (Navitas),,,AUD,,,,,"Business, Criminology and Criminal Justice, Design, Educational Studies, Engineering, Health Care, Health Sciences, Information Technology, International Tourism and Hotel Management, Science, Social and Psychological Science",,,Yes,Griffith College offers diploma programs that provide pathways to Griffith University degrees with smaller classes and strong support. They also offer Foundation and Masters Qualifying Programs for international students.,success
Keele University (Navitas),,,GBP,,,,,"Business and Management, Computer Science, Engineering, Health Sciences, Law and Criminology, Life Sciences, Psychology, Chemistry and Physics, Mathematics, English, Creative Writing, History, Film, Media, Music, Geography, Geology, Environment, Nursing, Sport, Politics, International Relations, Philosophy, Sociology, Education",Flexible intakes between September and March,,Partial,"Offers accessible entry pathways to over 150 Keele University degrees through preparatory courses. Located on one of the UK's biggest campuses at 600 acres with over 13,500 students.",success
La Trobe University (Navitas),,,AUD,,,,,"Business, Business Analytics, Cybersecurity, Engineering, Health Sciences, Information Technology, Media and Communication, Psychology, Bioscience, Foundation Studies",Trimester 2,,Yes,"La Trobe College is a pathway provider offering diplomas and foundation studies that transfer to La Trobe University degrees. Multiple scholarship options available including Foundation and Diploma scholarships, Family Bursary, and Academic Merit scholarships.",success
Lancaster University Leipzig (Navitas),,,EUR,,,,,"Accounting and Finance, Business Management, Computer Science, Cyber Security, Software Engineering, Business Analytics, Data Science, Logistics and Supply Chain Management",,,Yes,Lancaster University Leipzig is a branch campus offering British degrees in Germany. All courses are taught in English with optional German language courses. Students earn the same degree as Lancaster University UK campus students.,success
Manchester Metropolitan University (Navitas),,,GBP,,,,,"Foundation, International Year One, Pre-Masters pathway courses leading to over 90 progression degrees",,,Yes,International College provides pathway courses to prepare students for Manchester Met degrees with guaranteed entry when progression criteria are met. Single visa covers entire length of study and on-campus accommodation is available.,success
Murdoch University Dubai (Navitas),,,AED,,,,,"Business Administration, Accounting, Finance, Human Resources Management, Marketing, Computer Science, Cyber Security, Psychology, Criminology, Digital Communication, Education","January, May, September",,Yes,"Australian university campus in Dubai offering pathway programs, undergraduate and postgraduate courses. All programs are accredited by CAA, KHDA, and TEQSA with double major options available across undergraduate degrees.",success
