name,tuition_min,tuition_max,tuition_currency,tuition_usd,ielts_min,toefl_min,gpa_min,programs,intakes,application_deadline,scholarship_available,notes,scrape_status
Robert Gordon University (Navitas),,,GBP,,,,,"Accounting and Finance, Architecture, Art and Design, Business and Management, Computer Science, Engineering, Health Sciences, Nursing, Pharmacy, Life Sciences, Surveying",,,Yes,ICRGU offers pathway courses including Foundation programs and Pre-Master's courses leading to degrees at Robert Gordon University. Pre-Sessional English courses are available for students who need to improve their English language skills.,success
Simon Fraser University (Navitas),,,CAD,,,,,"Arts and Social Sciences, Business Administration, Communication and Business, Communication Art and Technology, Computing Science, Engineering Science, Environment, Health Sciences, Sciences",September 2025,,Yes,Fraser International College (FIC) serves as a pathway to Simon Fraser University (SFU). The college offers foundation programs and undergraduate transfer pathways to help students advance to their degree at SFU.,success
Toronto Metropolitan University (Navitas),,,CAD,,,,,"Arts, Commerce, Creative Industries, Economics and Finance, Engineering, Science, Foundation Program, English for Academic Purposes",,,,TMUIC is a pathway college for Toronto Metropolitan University located in downtown Toronto. Students complete foundation or International Year One programs before transferring to second year at TMU.,success
University of Canberra (Navitas),,,AUD,,,,,,,,Yes,"UC College offers pathway programs including diplomas, foundation studies, graduate certificate in academic foundations and English language courses for international students preparing for University of Canberra.",success
University of Canterbury (Navitas),,,NZD,,,,,"Foundation Studies, Commerce, Science, Engineering, Pre-Master's",,,,UCIC is a pathway college to University of Canterbury with small class sizes and personalized support. NZQA Category 1 provider with 'highly confident' rating for educational performance.,success
University of Hertfordshire (Navitas),,,GBP,,,,,"Accounting and Finance, Animation and Film, Architecture, Art and Design, Business and Economics, Computer Science, Engineering, Health and Nursing, Law, Mass Communications, Music, Physics and Mathematics",,,,Hertfordshire International College offers pathway programs to prepare students for University of Hertfordshire degrees. Campus is 25 minutes from London with modern facilities and strong research rankings.,success
University of Lethbridge (Navitas),,,CAD,,,,,"Foundation Program, Business Administration",,,,"UICC provides undergraduate pathways to the University of Lethbridge and serves over 1000 international students from 90 countries. The college is located in Calgary and offers support within a welcoming, inclusive environment.",success
University of Plymouth (Navitas),,,GBP,,,,,"Arts, Design & Architecture, Biological/Biomedical Sciences & Psychology, Business Management & Economics, Computer Science, Construction Management, Engineering & Robotics, Environmental Sciences, Health & Human Sciences, Law, Marine Coast & Ocean Sciences, Maritime Business, Mathematical Sciences, Politics & International Relations, Tourism & Events",January 2026,,Yes,"Offers £4000 progression scholarship and up to 50% fee discount with Vice Chancellor's International Excellence Award for January 2026. Located in Plymouth, Britain's Ocean City, with pathways including Foundation, First Year, and Pre-Masters programs leading to University of Plymouth degrees.",success
University of Sydney (Navitas),,,AUD,,,,,"University of Sydney Foundation Program, High Achievers Preparation Program",,,,"Taylors College Sydney provides pathway programs for international students to study at the University of Sydney. In 2024, 90% of USFP graduates received offers to the University of Sydney.",success
University of Twente (Navitas),,,EUR,,,,,"Foundation in Engineering and Technology, Foundation in Business, Management and Social Sciences",September,"June 15, 2026",,Year-long foundation programs with on-campus teaching in Enschede. Students progress to University of Twente degrees upon successful completion.,success
University of Waikato (Navitas),,,NZD,,,,,"Foundation Studies, Business, Computer Science, Pre-Masters, English Language",,,,"University of Waikato College is a pathway program delivered by Navitas to prepare students for University of Waikato degree study. Programs include foundation studies, international diplomas, and English language preparation.",success
Western Sydney University (Navitas),,,AUD,,,,,"Foundation Studies, Business, Health Science and Nursing, Science, Arts, Engineering, Information and Communications Technology",,,,"Western Sydney University International College offers pathway programs including foundation studies and diploma programs leading to over 30 Western Sydney University undergraduate degrees. The college is located in Parramatta, Sydney.",success
Western University (Navitas),,,CAD,,,,,"Management and Organizational Studies, Science, Social Science, Master of Engineering",,,,"Western International College is a pathway program located on Western University's campus in London, Ontario. Offers International Year One programs for undergraduate pathways and professional master's programs.",success
Wilfrid Laurier University (Navitas),,,CAD,,,,,"Business Administration, Life Sciences, Computer Science, Economics and Accounting, Data Science, Business Technology Management, User Experience Design, Arts, Human and Social Sciences, Liberal Arts, Science",,,Yes,Wilfrid Laurier International College offers undergraduate pathway programs to Wilfrid Laurier University. The college is now located at Laurier's Waterloo campus and provides Foundation Programs and International Year One (UTP II) options.,success
BPP University (Oxford International),,,GBP,,,,,"Law, Accountancy & Finance, Management, Data Analytics, HR, Digital Marketing, Nursing, Healthcare",,,,BPP University offers undergraduate and postgraduate programs across multiple locations in the UK. International student services include visa application assistance and authorized international agents.,success
Bangor University (Oxford International),,,GBP,,,,,,,,,"University ranked 2nd in Wales and 40th in the UK according to TIME World's Top Universities of 2026. Still accepting applications for September 2026 undergraduate, postgraduate taught, and postgraduate research courses.",success
De Montfort University (Oxford International),,,GBP,,,,,,"January, February",,,"University offers English language courses and has multiple campus locations including Leicester, Dubai, and London. Courses available starting in January and February.",success
Edinburgh Napier University (Oxford International),,,GBP,,,,,"Accounting and Finance, Acting, Biological Sciences, Building and Surveying, Business and Management, Computing, Criminology, Psychology and Sociology, Design, Photography & Advertising, Engineering, English, Creative Writing and Publishing, Film, Journalism and Media, Health and Social Care, Law, Marketing, Music, Nursing and Midwifery, Sport and Exercise Sciences, Teaching, Tourism, Hospitality, Festival and Events Management",,,,"Edinburgh Napier University has an International College (ENUIC) which provides on-campus pathway programs for international students. The university serves nearly 20,000 students from over 145 countries and offers both on-campus and online study options.",success
Sheffield Hallam University (Oxford International),,,GBP,,,,,,,,,"University offers guaranteed internships with eligibility criteria, award-winning teaching facilities, and dedicated career support for international students.",success
University of Kent (Oxford International),,,GBP,,,,,,,,,"University of Kent offers undergraduate and postgraduate courses with international student support, scholarships available, and English language requirements. Visit their international student pages for specific admission requirements and program details.",success
University of Roehampton (Oxford International),,,GBP,,,,,,,,,"University of Roehampton is London's campus university located in southwest London, offering undergraduate, postgraduate, and online degree programs with dedicated international student support services.",success
Whitecliffe University - Berlin International (Oxford International),,,EUR,,,,,"Architecture, Interior Architecture, Graphic Design & Visual Communication, Business Administration, International Management & Marketing, Data Science & Business, MBA",,,,All programs taught in English. International university with students from 93 nations offering opportunities to study at different global locations.,success
London Metropolitan University (QA),,,GBP,,,,,"Business Management, Construction Management, Data Science, Health and Social Care, International Business Management",,,,"Programmes validated by London Metropolitan University and taught by QA Higher Education staff at multiple UK locations including London, Birmingham, and Manchester. Flexible scheduling with daytime or evening/weekend options available.",success
Northumbria University (QA),,,GBP,,,,,"Business, Computing, IT, Project Management",Multiple intakes across the academic year,,,"QA Higher Education delivers Northumbria University programs in London, Birmingham, and Newcastle. Pathway programmes are available for international students to develop English language and academic skills.",success
Swansea University (QA),,,GBP,,,,,"Business, Computing",,,,QA Higher Education partners with Swansea University to deliver postgraduate programmes at London locations. Programmes are validated by Swansea University but taught by QA Higher Education staff.,success
Ulster University (QA),,,GBP,,,,,"Business, Computing",,,,Ulster University branch campuses delivered through QA Higher Education partnership with locations in London and Birmingham. Programs validated by Ulster University and taught by QA Higher Education with focus on graduate employability.,success
Adelphi University (Shorelight),,,USD,,,,,,,,,Adelphi is recognized as a College of Distinction for exceptional support services provided to international students. The university has over 207 undergraduate and graduate programs with strong earnings outcomes.,success
American Collegiate DC (Shorelight),,,USD,,,,,,"Summer, Fall, Winter, Spring","March 30, 2026",,"Elite undergraduate transfer program hosted by American University aimed at transferring students to top US or world universities. Classes begin May 20, 2026 for Summer 2026 intake.",success
American Collegiate LA (Shorelight),,,USD,,,,,undergraduate transfer programs,"Summer, Fall, Winter, Spring","May 18, 2026 for Summer 2026",,One- or two-year transfer program in collaboration with UCLA Extension designed to prepare international students for transfer to top universities. Includes ESL courses and personalized support services.,success
American Collegiate Live (Shorelight),,,USD,,,,,,"Summer 2026, Fall 2026, Winter 2027, Spring 2027","May 12, 2026",,"Virtual start program allowing students to begin US university degree studies from home with real-time faculty interaction and transferable credits. Classes begin May 27, 2026 with mandatory check-in May 20, 2026.",success
Bellarmine University (Shorelight),,,USD,,,,,"Business, Digital Media, Liberal Arts",,,Yes,Every first-year student receives merit-based scholarship. Public Price Promise offers private education at public school pricing. International Services available.,success
Bridgewater College (Shorelight),,,USD,,,,,"60 majors and minors, Graduate Programs, Chemistry, Criminology",,,Yes,"100% of first-year, full-time students receive financial assistance. Private college education at public college pricing with transparent costs.",success
Carroll University (Shorelight),,,USD,,,,,,,,,"Carroll University mentions International Students and International Services and Engagement, indicating they serve international students, but specific admissions requirements and program details are not provided on this page.",success
Central Methodist University (Shorelight),,,USD,,,,,,,,,Central Methodist University offers undergraduate and graduate programs through Shorelight partnership. The university has been operating since 1854 and provides various student services including international student support.,success
Colby Sawyer College (Shorelight),,,USD,,,,,"Business Administration, Nursing, Psychology, Biology, Environmental Science, Art & Design, Education, Exercise Science, Social Work",,,,Liberal arts college in New Hampshire with strong outcomes (97% employment/graduate school placement within 6 months). Partnership with Dartmouth Health guarantees employment for nursing graduates.,success
Dakota Wesleyan University (Shorelight),,,USD,,,,,,,,,"Dakota Wesleyan University offers undergraduate, graduate and online programs with personalized education focused on academics, leadership, faith and service. The university has 100% job placement rates for nursing and education graduates.",success
Dean College (Shorelight),,,USD,,,,,"Liberal Arts & Studies, Criminal Justice and Homeland Security, Athletic Coaching and Recreation Management",,,,"Dean College is a private college in Franklin, Massachusetts offering personalized attention with small class sizes and individualized learning approach.",success
Fairfield University (Shorelight),,,USD,,,,,,,,,"Fairfield University is a Jesuit Catholic institution located in Connecticut, 10 minutes from the beach and 60 minutes from NYC. The university offers undergraduate and graduate programs with strong outcomes - 98% of graduates secure employment or continue education within eight years.",success
Felician University (Shorelight),,,USD,,,,,"Arts and Sciences, Education, Business and Information Sciences, Nursing",,,Yes,No SAT/ACT required for admission. Founded by Felician Sisters with Franciscan values emphasis on service and respect for humanity.,success
Gonzaga University (Shorelight),,,USD,,,,,"Arts & Sciences, Business Administration, Education, Engineering & Applied Sciences, Law, Leadership Studies, Health Sciences, Informatics and Applied Technology",,,,"Gonzaga offers 16 undergraduate degrees through 53 majors, 68 minors and 73 concentrations, plus 23 master's degrees and 5 doctoral-level degrees. The university has a 12:1 student-to-faculty ratio and 95% of graduates are employed or pursuing higher degrees within six months.",success
Hartwick College (Shorelight),23500.0,,USD,23500.0,,,,,,,Yes,Annual scholarships available up to $10K. The college uses transparent tuition pricing and offers financial aid through FAFSA (code 002729).,success
Heriot-Watt University Dubai (Shorelight),,,AED,,,,,"Management, Engineering, Built Environment, Fashion, Business Management, Accountancy, Marketing, Finance, Logistics",September,,Yes,Offers foundation programmes for degree entry pathway. All programmes accredited by UAE Ministry of Higher Education. Inter-campus transfers available to UK and Malaysia campuses.,success
Heriot-Watt University UK (Shorelight),,,GBP,,,,,,,,Yes,"University has multiple campuses in Edinburgh, Scottish Borders, Orkney, Dubai and Malaysia. Island Scholarship available for postgraduate students studying clean energy and marine science in Orkney.",success
Hiram College (Shorelight),,,USD,,,,,"Accounting, Applied Computer Science, Art and Design, Biochemistry, Biology, Chemistry, Communication, Computer Science, Criminal Justice, Digital Marketing, Education, English, Environmental Studies, History, International Studies, Management, Marketing, Neuroscience, Nursing, Physics, Political Science, Psychology, Public Health, Sociology, Sport Management, Supply Chain Management",,,,Private college in Ohio with tuition guarantee that locks rates for four years and graduation guarantee for students following academic plans. Offers 10:1 student-to-faculty ratio and 94% job placement rate.,success
Illinois Wesleyan University (Shorelight),,,USD,,,,,,,,Yes,"95% of students qualify for scholarships or grants. The university emphasizes liberal arts education combined with practical experience in business, nursing, fine arts, and sciences.",success
Lakeland University (Shorelight),,,USD,,,,,,,,Yes,"University offers cooperative education program allowing students to earn college credit for work experience. Has campus in Tokyo, Japan and multiple delivery formats including online options.",success
MGH Institute of Health Professions (Shorelight),,,USD,,,,,"Nursing, Communication Sciences and Disorders, Genetic Counseling, Health Sciences, Health Professions Education, Occupational Therapy, Physical Therapy, Physician Assistant Studies",,,,"The Institute offers entry-level and post-professional programs in health professions with integration of classroom learning, research, and clinical experience. Located in Boston with clinical affiliations to Mass General Brigham healthcare system.",success
McMurry University (Shorelight),13054.0,,USD,13054.0,,,,"Business, Nursing, Education, Sciences, Arts, Music, Healthcare Administration, AI in Business",,,Yes,McMurry University is a private Christian university in Texas with small class sizes (16:1 student-faculty ratio) and is designated as a Hispanic-Serving Institution with support resources for students.,success
Missouri University of Science and Technology (Shorelight),,,USD,,,,,"Computer Science, Business, Engineering, Humanities, Liberal Arts, Artificial Intelligence, Biology",,,,Missouri S&T offers over 100 degree programs in 40 areas of study with strong career placement and internship opportunities. The university is known for hands-on learning through design teams and research opportunities.,success
Montana State University (Shorelight),,,USD,,,,,,,,,"Montana State University offers international admissions for freshman, transfer, and graduate students, as well as ESL study programs. The university is located in Bozeman, Montana and offers over 250 degrees and programs.",success
Mount St. Mary's University Maryland (Shorelight),,,USD,,,,,"Liberal Arts, Business, Education, Health Professions, Science, Mathematics, Technology",,,,"Catholic university offering over 80 majors, minors, concentrations and special programs for undergraduate students, plus 25+ adult undergraduate and graduate programs. Has specific international student admissions office.",success
Ohio Wesleyan University (Shorelight),,,USD,,,,,"Biological Sciences, Chemistry, Psychology & Neuroscience, Economics & Business, Communication & Journalism, Mathematics & Computer Science, Physics & Astronomy, Global Studies, Fine Arts, Performing Arts, Philosophy & Religion, Politics & Government, Medical & Health Professions, Education, English & Creative Writing, World Languages & Cultures, Environment & Sustainability, Health & Human Kinetics, Sociology & Anthropology, History & Period Studies, Africana Gender & Identity Studies",,,Yes,"Ohio Wesleyan University offers The OWU Connection program combining internships, research, travel, and service experiences. The university provides various scholarships including the Education Fellows Program with scholarships for outstanding students.",success
Oklahoma City University (Shorelight),,,USD,,,,,"performing arts, health care, business, science, leadership, music composition, cell and molecular biology, finance",,,Yes,Over 90% of students receive financial aid. The university has an 11:1 student-to-faculty ratio and is located on a 104-acre campus in downtown Oklahoma City.,success
Randolph College (Shorelight),,,USD,,,,,"Liberal Arts, BA, BS, BFA degrees with 42 majors, 52 minors, 5 pre-professional programs",,,Yes,"100% of students receive financial aid. Features innovative TAKE2 curriculum with two courses per half-semester. Provides $2,000 RISE grants for student research and creative work.",success
Rutgers University New Brunswick (Shorelight),,,USD,,,,,,,,,This appears to be the general Rutgers University homepage which mentions 150+ undergraduate majors and graduate/professional programs but lacks specific international student admissions requirements or tuition information.,success
Saint Mary's University of Minnesota (Shorelight),,,USD,,,,,,,,,"Saint Mary's University of Minnesota offers over 80 academic programs across multiple campuses (Winona, Minneapolis, Rochester) and online. The university has a Lasallian Catholic heritage focused on ethical leadership and service.",success
Seattle University (Shorelight),,,USD,,,,,"Computer Science, Nursing, Chemistry, Sociology, Arts Leadership, MFA programs, plus 65+ undergraduate majors and 50+ graduate programs",,,Yes,"Seattle University is a Jesuit institution with an 11:1 student-to-faculty ratio and 96% graduate success rate. The university has an International Student Center and is located in Seattle, ranked #1 destination city for college students.",success
St. Mary's College of California (Shorelight),,,USD,,,,,"Liberal Arts, Science, Economics, Business Administration, Education",,,Yes,Small class sizes with 10:1 student-faculty ratio. Located in San Francisco Bay Area with study abroad opportunities and Silicon Valley internship access.,success
St. Thomas Aquinas College (Shorelight),,,USD,,,,,"Arts & Social Sciences, Business, Education, STEM",,,,College offers 100+ programs across four schools with a 16:1 student-to-faculty ratio and is located 15 miles from NYC. International admissions services are available through the college.,success
Stony Brook University (Shorelight),,,USD,,,,,,,,,Applications open August 1. Stony Brook is ranked #26 public university in the nation with over 300 fields of study available.,success
Trinity Christian College (Shorelight),,,USD,,,,,,,,,"Trinity Christian College has announced closure after the 2025-2026 academic year. The college offers undergraduate, graduate, and adult undergraduate programs but specific international admissions requirements are not detailed on this page.",success
University at Buffalo (Shorelight),,,USD,,,,,"Cognitive Science, Artificial Intelligence, Criminology, Environmental Design, Arts Management, Applied Mathematics, Communication, Neuroscience, Geological Sciences, Biotechnology, Indigenous Studies, Music, Dance, Medicinal Chemistry, Aerospace Engineering, International Trade, Nutrition Science, Global Affairs, Media Study",,,,University at Buffalo offers 500+ degree programs and is ranked #36 public university in U.S. The university has a 12:1 student/faculty ratio and is noted for interdisciplinary research opportunities.,success
University of Alaska Fairbanks (Shorelight),,,USD,,,,,,,,,"UAF has students from 51 countries with a 12:1 student-faculty ratio. The university offers online degree programs through UAF eCampus and has campuses in multiple Alaska locations including Fairbanks, Kotzebue, Bethel, Nome and Dillingham.",success
University of Dayton (Shorelight),,,USD,,,,,,,,Yes,"Catholic, Marianist institution with transparent tuition approach. All students automatically considered for merit scholarships, textbook scholarships also available.",success
University of Dubuque (Shorelight),,,USD,,,,,"Business, Aviation, Health and Medical Sciences, Communication, Computer Science, Digital Art and Design, Fine Arts, Theological Seminary",,,Yes,100% of tuition covered through Tuition Pledge for eligible Iowa students. 99% of undergraduate students receive financial aid. The university is pursuing opening the first new medical school in Iowa in over 125 years.,success
University of Illinois Springfield (Shorelight),,,USD,,,,,,,,Yes,University of Illinois Springfield offers 43 online degree programs and has awarded $3.6 million in grants and scholarships. The university has a 95.9% graduate success rate with students employed after graduation.,success
University of Massachusetts Boston (Shorelight),,,USD,,,,,,,,,"UMass Boston is the most diverse college campus in New England with students from 117 countries. The university offers 200+ undergraduate and graduate programs including in-person, hybrid, and online options.",success
University of Mount Union (Shorelight),,,USD,,,,,,,,Yes,"99% of students receive some form of financial aid. University offers undergraduate, graduate, online education, and continuing education programs with personal attention from faculty.",success
University of Nevada Reno (Shorelight),,,USD,,,,,,,,Yes,"University offers 560+ majors, minors, graduate and certificate programs with 17:1 student-to-faculty ratio. Interactive cost calculator and financial aid information available on website.",success
University of Portland (Shorelight),,,USD,,,,,"Arts and Sciences, Business, Engineering, Healthcare, Education",,,Yes,University offers undergraduate and graduate degrees with hands-on learning opportunities including internships and research. High percentage of students receive financial aid or scholarships.,success
University of Redlands (Shorelight),,,USD,,,,,,,,,"University of Redlands offers 40+ undergraduate programs and 30+ graduate programs with small class sizes and 13:1 student-faculty ratio. Founded in 1907, located in Southern California and Bay Area with study abroad opportunities available.",success
University of Saint Mary Kansas (Shorelight),,,USD,,,,,,,,Yes,"USM offers undergraduate academic scholarships ranging from full tuition to $12,000. The university specializes in health care education including nursing, pre-med, DPT, and NP programs.",success
University of Texas at San Antonio (Shorelight),,,USD,,,,,"Public Health, Politics and Law, Immunology, Medicine, Dentistry, Nursing, AI, Cybersecurity, Energy",Fall,June 1,Yes,UT San Antonio is the 3rd largest public research university in Texas with 42K+ students and 350+ academic programs. The university offers both academic campus and health science center programs with a focus on experiential learning and research.,success
University of Utah (Shorelight),,,USD,,,,,,,,,"University of Utah has an Asia campus located in Incheon, South Korea offering the same degree as the Salt Lake City campus. The university is a Tier 1 research institution and proud member of the AAU.",success
University of Wisconsin Green Bay (Shorelight),,,USD,,,,,"Computer Science, Social Work, Water Science, Psychology, Business Administration, Nursing, Environmental Science, Criminal Justice, Education",,,,"82% of first-year students receive financial aid. University offers online programs and has campuses in Green Bay, Manitowoc, and Sheboygan. Mentions serving international students but specific requirements not detailed on this page.",success
University of Wisconsin River Falls (Shorelight),,,USD,,,,,,,,,"University mentions 70+ areas of study and has International Options under admissions, but specific details for international students are not provided on this page.",success
University of Wisconsin Whitewater (Shorelight),,,USD,,,,,,,,,"UW-Whitewater claims to have the lowest combined tuition, room/board and fees among four-year campuses in Wisconsin. They offer both undergraduate and graduate programs with 98% of graduates employed in their field or in graduate school within a year. Fall 2026 applications are currently open.",success
University of Wyoming (Shorelight),,,USD,,,,,,,,,"UW offers international student admissions with specific requirements available on their dedicated international admissions page. The university is located in Laramie, Wyoming and offers affordable tuition rates among four-year universities.",success
Utah Tech University (Shorelight),,,USD,,,,,,,,Yes,"Utah Tech University claims to be the most affordable university in Utah with high percentage of students receiving financial aid. Scholarships, grants, and other financial aid are widely available.",success
Villanova University (Shorelight),,,USD,,,,,"Liberal Arts, Business, Engineering, Nursing, Law, Professional Studies",,,,Catholic Augustinian university located 12 miles from Philadelphia with over 60 bachelor's programs and 40+ master's programs. Strong emphasis on personalized education with teacher-student partnerships in learning.,success
Virginia Wesleyan University (Shorelight),,,USD,,,,,"Liberal Arts, Sciences, Business Administration, Education, Environmental Studies, Psychology, Biology, Chemistry, Computer Science, Art, Music, Theatre, Nursing",,,Yes,99% of students receive financial assistance and tuition has been frozen for six consecutive years. The university offers merit scholarships and a Work & Learn Program for student employment.,success
Washington & Jefferson College (Shorelight),,,USD,,,,,,,,Yes,Washington & Jefferson College offers generous merit scholarships and institutional grants. The college has International Student Services and mentions providing an affordable education with an attainable bottom line.,success
Western Oregon University (Shorelight),,,USD,,,,,,,,,"Western Oregon University is a Hispanic Serving Institution with small class sizes averaging 19 students, located in Monmouth, Oregon as the state's oldest public university.",success
Cardiff University (Study Group),,,GBP,,,,,"International Foundation Year, Accelerated International Foundation, International Year One, Pre-Master's, English Language Preparation",,,,"Cardiff University International Study Centre offers pathway programmes to a Russell Group university. Cardiff is described as one of the most affordable student cities in the UK, located just two hours from London by train.",success
DePaul University (Study Group),,,USD,,,,,"Business, Communication, Computing and Digital Media, Education, Law, Liberal Arts and Social Sciences, Science and Health, Music, Theatre",,,Yes,DePaul offers a Net Price Calculator to estimate costs based on program and circumstances. The university has a 17:1 student-to-faculty ratio and 97% of classes are taught by faculty rather than TAs.,success
Florida Atlantic University (Study Group),,,USD,,,,,,,,,"FAU offers 170+ degree programs with extensive undergraduate research opportunities and internship placements. The university has multiple campuses across Southeast Florida including Boca Raton, Fort Lauderdale, and Jupiter.",success
James Madison University (Study Group),,,USD,,,,,,,,,"JMU offers 70+ majors and 130+ programs with options for undergraduate and graduate study, plus study abroad opportunities.",success
Kingston University (Study Group),,,GBP,,,,,"International Foundation Year, International Year One, Pre-Masters Programme, Business and Management, Science Engineering and Computing, Pharmaceutical Science",,,,"Kingston University International Study Centre offers pathway programs to prepare students for undergraduate and postgraduate degrees. The university is ranked top 60 in UK and #1 for graduate start-ups, located 30 minutes from central London.",success
Leeds Beckett University (Study Group),,,GBP,,,,,"International Foundation Year, International Year One, Business, Law, Social Studies, Science, Engineering, Computing, Business Management",,,,Study Group operates an International Study Centre for Leeds Beckett University offering pathway programs. English Language Preparation courses available to help students meet language requirements before starting pathway programs.,success
Liverpool John Moores University (Study Group),,,GBP,,,,,"International Foundation Year, International Year One, Pre-Masters Programme, Engineering, Computing, Life Sciences",,,,Offers preparatory pathway programmes for international students to progress to Liverpool John Moores University degrees. English Language Preparation programme available for students who need to improve English skills.,success
Long Island University (Study Group),,,USD,,,,,,,,Yes,"LIU awards nearly $100 million in scholarships and grants yearly. The university offers 150+ academic programs across multiple campuses including Brooklyn, Post, Global, Pharmacy, and Veterinary Medicine.",success
New Jersey Institute of Technology (Study Group),,,USD,,,,,"Architecture & Design, Business, Computing, Engineering, Humanities & Liberal Arts, Math & Science",,,,NJIT offers undergraduate and graduate international admissions with visa application support for degree-seeking and visiting students.,success
Towson University (Study Group),,,USD,,,,,,,,,Towson University is Maryland's largest university with 80+ graduate programs and strong career services. The page mentions international admissions applications are available but specific requirements are not listed here.,success
University of Aberdeen (Study Group),,,GBP,,,,,,,,Yes,"Aberdeen Global Scholarship offers £6,000 per year for eligible undergraduate programmes and £8,000 for eligible master's programmes to international students. The university is ranked 3rd in Scotland and Top 20 in the UK.",success
University of Hartford (Study Group),,,USD,,,,,"Art, Business, Engineering, Nursing, Education, Music, Communication, Health Professions",,,,"University of Hartford offers over 100 academic programs across multiple schools including Hartford Art School, Barney School of Business, and College of Engineering. 90% of students receive financial aid with an 11:1 student to faculty ratio.",success
University of Huddersfield (Study Group),,,GBP,,,,,"International Foundation Year, International Year One, Pre-Master's Programme, English Language Preparation",,,,Pathway programmes offered through International Study Centre on campus. 85% of students who completed programmes with required grades were offered places at University of Huddersfield in 2025.,success
University of Huddersfield London (Study Group),,,GBP,,,,,"Business, Computer Science",September 2026,,,Located in London's business hub with industry connections and internship opportunities. Pre-Sessional English programme available online for language preparation.,success
University of Leeds (Study Group),,,GBP,,,,,"International Foundation Year, International Year One, Pre-Masters, English Language Preparation",,,,Pathway programs for progression to University of Leeds. Students can start courses in current academic year and progress to University of Leeds next autumn. English language preparation courses available.,success
University of Strathclyde (Study Group),,,GBP,,,,,"Business and Social Sciences, Engineering and Sciences, Psychology, Business and Management",,,Yes,97% of pathway programme students were offered progression to University of Strathclyde degrees in 2025. Offers English Language Preparation programme and various pathway lengths including accelerated options.,success
University of Surrey (Study Group),,,GBP,,,,,"International Foundation Year, International Year One, Pre-Masters Programme, Business, Economics, Law, Social Sciences, Life Sciences",,,,Offers pathway programmes to University of Surrey with placement year opportunities. University ranked 19th-31st in UK league tables with strong employability focus.,success
University of Sussex (Study Group),,,GBP,,,,,"Business, Accounting and Economics, Computer Science, Finance and Technology, Psychology, Product Design, Engineering, Mathematics, Physics, Social Sciences, Law, Life Sciences, Film and Media, Medicine, International Relations, International Development",,,,"The International Study Centre offers pathway programs including International Foundation Year, International Year One, Extended International Year One, and Pre-Masters Programme to prepare students for degree study at University of Sussex. English Language Preparation programme is available for students needing to improve English skills.",success
Western Washington University (Study Group),,,USD,,,,,"Environmental Studies, Biology, Chemistry, Mathematics, Business Administration",,,,Western Washington University offers 200+ academic programs with small classes and personal faculty connections. Located in Bellingham where the Salish Sea meets the North Cascades.,success
Swinburne University of Technology (UP Education),,,AUD,,,,,"Arts, Business, Engineering, Information Technology, Design, Aviation, Health, Psychology, Science, Media and Communication, Film and Television, Games and Animation",,,Yes,"Swinburne offers guaranteed work integrated learning in all bachelor degrees and has industry partnerships with companies like Adobe, Amazon Web Services, and Siemens. The university provides ELICOS preparation courses and has dedicated support services for international students.",success
University of Auckland (UP Education),,,NZD,,,,,,,,Yes,"University of Auckland offers undergraduate, postgraduate, and professional development programs with accommodation options available. Scholarships and awards are provided to thousands of students annually.",success
Victoria University of Wellington (UP Education),,,NZD,,,,,,,,Yes,Victoria University of Wellington has an international students section and mentions scholarships are available. The university offers undergraduate and postgraduate programs with world-leading research opportunities.,success
EU Business School Munich,,,USD,,,,,"Business Administration, International Relations, Artificial Intelligence for Business, Sports Management, Digital Business Design & Innovation, Tourism Management, Business Finance, Digital Communications, Management, Finance, Marketing, Innovation & Entrepreneurship, Fashion & Luxury Business, MBA",,,,EU Business School Munich offers an English Foundation Program for students needing to improve language skills before degree entry. The campus hosts 800+ students from 130+ nationalities in a modern facility in Munich's business district.,success
